intent,sentence1,sentence2,label
Set a Timer,Set a timer for 10 minutes.,Start a 10-minute countdown.,1
Set a Timer,Set a timer for 10 minutes.,Please time 10 minutes for me.,1
Set a Timer,Set a timer for 10 minutes.,Create a 10-minute timer.,0
Set a Timer,Set a timer for 10 minutes.,Begin a countdown for 10 minutes.,0
Set a Timer,Set a timer for 10 minutes.,Can you activate a timer for 10 minutes?,0
Set a Timer,Set a timer for 10 minutes.,Start a stopwatch for 10 minutes.,0
Set a Timer,Set a timer for 10 minutes.,Set a countdown for 10 minutes.,0
Set a Timer,Set a timer for 10 minutes.,I need a timer for 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Count down from 10 minutes.,0
Set a Timer,Set a timer for 10 minutes.,Remind me in 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Can you time me for 10 minutes?,0
Set a Timer,Set a timer for 10 minutes.,Turn on a timer for 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Start a countdown clock for 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Give me an alert after 10 minutes.,0
Set a Timer,Set a timer for 10 minutes.,I want a timer set for 10 minutes.,0
Set a Timer,Set a timer for 10 minutes.,Put on a countdown for 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Can you start a 10-minute stopwatch?,0
Set a Timer,Set a timer for 10 minutes.,Start the timer and stop after 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Track time for 10 minutes.,0
Set a Timer,Set a timer for 10 minutes.,Set an alarm for 10 minutes from now.,0
Set a Timer,Set a timer for 10 minutes.,Run a stopwatch for 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Begin a 10-minute alert.,1
Set a Timer,Set a timer for 10 minutes.,I need a reminder in 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Keep track of 10 minutes for me.,0
Set a Timer,Set a timer for 10 minutes.,Help me count down 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Let me know when 10 minutes have passed.,0
Set a Timer,Set a timer for 10 minutes.,Enable a timer for 10 minutes.,1
Set a Timer,Set a timer for 10 minutes.,Countdown 10 minutes for me.,1
Set a Timer,Start a 10-minute countdown.,Please time 10 minutes for me.,1
Set a Timer,Start a 10-minute countdown.,Create a 10-minute timer.,0
Set a Timer,Start a 10-minute countdown.,Begin a countdown for 10 minutes.,1
Set a Timer,Start a 10-minute countdown.,Can you activate a timer for 10 minutes?,0
Set a Timer,Start a 10-minute countdown.,Start a stopwatch for 10 minutes.,1
Set a Timer,Start a 10-minute countdown.,Set a countdown for 10 minutes.,0
Set a Timer,Start a 10-minute countdown.,I need a timer for 10 minutes.,1
Set a Timer,Start a 10-minute countdown.,Count down from 10 minutes.,1
Set a Timer,Start a 10-minute countdown.,Remind me in 10 minutes.,0
Set a Timer,Start a 10-minute countdown.,Can you time me for 10 minutes?,0
Set a Timer,Start a 10-minute countdown.,Turn on a timer for 10 minutes.,1
Set a Timer,Start a 10-minute countdown.,Start a countdown clock for 10 minutes.,0
Set a Timer,Start a 10-minute countdown.,Give me an alert after 10 minutes.,0
Set a Timer,Start a 10-minute countdown.,I want a timer set for 10 minutes.,1
Set a Timer,Start a 10-minute countdown.,Put on a countdown for 10 minutes.,0
Set a Timer,Start a 10-minute countdown.,Can you start a 10-minute stopwatch?,0
Set a Timer,Start a 10-minute countdown.,Start the timer and stop after 10 minutes.,1
Set a Timer,Start a 10-minute countdown.,Track time for 10 minutes.,0
Set a Timer,Start a 10-minute countdown.,Set an alarm for 10 minutes from now.,0
Set a Timer,Start a 10-minute countdown.,Run a stopwatch for 10 minutes.,1
Set a Timer,Start a 10-minute countdown.,Begin a 10-minute alert.,1
Set a Timer,Start a 10-minute countdown.,I need a reminder in 10 minutes.,0
Set a Timer,Start a 10-minute countdown.,Keep track of 10 minutes for me.,0
Set a Timer,Start a 10-minute countdown.,Help me count down 10 minutes.,0
Set a Timer,Start a 10-minute countdown.,Start a timer exactly for 10 minutes.,0
Set a Timer,Start a 10-minute countdown.,Let me know when 10 minutes have passed.,1
Set a Timer,Start a 10-minute countdown.,Enable a timer for 10 minutes.,1
Set a Timer,Start a 10-minute countdown.,Countdown 10 minutes for me.,0
Set a Timer,Please time 10 minutes for me.,Create a 10-minute timer.,0
Set a Timer,Please time 10 minutes for me.,Begin a countdown for 10 minutes.,1
Set a Timer,Please time 10 minutes for me.,Can you activate a timer for 10 minutes?,0
Set a Timer,Please time 10 minutes for me.,Start a stopwatch for 10 minutes.,0
Set a Timer,Please time 10 minutes for me.,Set a countdown for 10 minutes.,1
Set a Timer,Please time 10 minutes for me.,I need a timer for 10 minutes.,1
Set a Timer,Please time 10 minutes for me.,Count down from 10 minutes.,1
Set a Timer,Please time 10 minutes for me.,Remind me in 10 minutes.,1
Set a Timer,Please time 10 minutes for me.,Can you time me for 10 minutes?,0
Set a Timer,Please time 10 minutes for me.,Turn on a timer for 10 minutes.,1
